DESCRIPTION,LOCATION,PRICE
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N10,000,000 per year"
3 Bedroom Terrace,"Ikate, Ikate Elegushi, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N5,000,000 per year"
2 Bedroom Duplex,Ajah,"N850,000 per year"
4 Bedroom Duplex,"Orchid Road, Lafiaji, Lekki","N4,500,000 per year"
4 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N4,500,000 per year"
4 Bedroom House,"Second Tollgate , Lekki Expressway, Lekki","N6,500,000 per year"
4 Bedroom Terrace,"Oniru, Victoria Island","N8,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N8,000,000 per year"
6 Bedroom Duplex,"Nicon Town, Ikate Elegushi, Lekki","N11,000,000 per year"
4 Bedroom Duplex,"Chevron , Chevron Drive, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Vi, Victoria Island","N15,000,000 per year"
5 Bedroom Duplex,"Ikeja G.R.A, Ikeja , Ikeja","N13,000,000 per year"
4 Bedroom Duplex,"Chevron, Chevron Drive, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Idado, Lekki","N3,000,000 per year"
4 Bedroom Duplex,"On Mobil Road, Ilaje , Ajah","N2,500,000 per year"
4 Bedroom Duplex,"Oral Estate , Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N7,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
2 Bedroom Flat & Apartment,"Chevron Alternative Route , Chevron Drive, Lekki","N2,300,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N5,000,000 per year"
5 Bedroom Duplex,"Chevron, Chevron Drive, Lekki","N6,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island Road, Ikoyi","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N9,500,000 per year"
4 Bedroom Terrace,"Lekki, Lekki Expressway, Lekki","N170,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,Victoria Island,"N10,000,000 per year"
3 Bedroom Flat & Apartment,"Eleganza Gardens Opposite Vgc , Lekki Expressway, Lekki","N2,700,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N5,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N6,000,000 per day"
5 Bedroom House,"Lekki Phase 1, Lekki","N8,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N8,000,000 per year"
3 Bedroom Flat & Apartment,"Ikate, Ikate Elegushi, Lekki","N4,000,000 per year"
5 Bedroom House,"Lekki Phase 1, Lekki","N10,000,000 per year"
4 Bedroom Flat & Apartment,Ikoyi,"N17,000,000 per year"
5 Bedroom Duplex,"Lekki Phase 1, Lekki","N6,000,000 per year"
Flat & Apartment,"Lekki Phase 1, Lekki","N2,700,000 per year"
2 Bedroom Flat & Apartment,"Emi Okunu Road, Bourdillon, Lekki Phase 1, Lekki","N5,000,000 per day"
Flat & Apartment,"Lekki Phase 1, Lekki","N2,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Off Admiralty Way Lekki Phase 1, Lekki Phase 1, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi, Parkview Estate, Ikoyi","N6,500,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N15,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N45,000,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N18,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N13,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N11,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N25,200,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N36,000,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N6,000,000 per year"
Flat & Apartment,Ikoyi,"N16,000,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N13,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N15,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N12,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N12,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
3 Bedroom Flat & Apartment,"Gerard , Ikoyi","N8,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N12,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N5,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N5,000,000 per year"
