DESCRIPTION,LOCATION,PRICE
3 Bedroom Flat & Apartment,"Off Second Avenue, Banana Island, Ikoyi","N18,000,000 per year"
3 Bedroom Flat & Apartment,"Off Chief Collins, Lekki Phase 1, Lekki","N5,000,000 per year"
5 Bedroom House,"Off Admiralty Road, Lekki Phase 1, Lekki","N5,000,000 per year"
5 Bedroom Duplex,"Banana Island, Ikoyi","N8,500,000 per year"
2 Bedroom Bungalow,"Lekki Phase 1, Lekki","N1,600,000 per year"
4 Bedroom Flat & Apartment,"Off Sokoto Street, Banana Island, Ikoyi","N10,000,000 per year"
4 Bedroom Bungalow,"Paradise Estate, Chevron Drive, Lekki","N5,000,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N8,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Richmondgate Haven Homes, Ikate Elegushi, Lekki","N6,500,000 per year"
4 Bedroom Duplex,"Ikoyi, Parkview Estate, Ikoyi","N7,000,000 per year"
3 Bedroom Flat & Apartment,"Off Ahmadu Bello Way, Victoria Island","N6,000,000 per year"
5 Bedroom Duplex,"Parkview Estate, Ikoyi","N17,000,000 per year"
3 Bedroom Flat & Apartment,"Alexandra Road, Banana Island, Ikoyi","N8,000,000 per year"
4 Bedroom Terrace,"Victor's Court, Parkview Estate, Parkview Estate, Ikoyi","N6,000,000 per year"
Commercial Property,"Orchid, Ikota, Lekki","N2,650,000 per yearN50,000  /m2"
5 Bedroom Duplex,"Babatunde Anjouse Street, Lekki Phase 1, Lekki","N7,000,000 per year"
Flat & Apartment,"Thomas Estate, Ajah","N1,200,000 per year"
Office,Victoria Island,"N20,000,000 per year"
Flat & Apartment,"Lekki Phase 1, Lekki","N1,400,000 per year"
3 Bedroom Flat & Apartment,"Agungi, Lekki","N2,300,000 per year"
4 Bedroom Duplex,"Banana Island, Ikoyi, Banana Island, Ikoyi","N18,000,000 per year"
4 Bedroom Duplex,"Off African Lane, Lekki Phase 1, Lekki","N7,000,000 per year"
3 Bedroom Flat & Apartment,"Off Second Avenue, Banana Island, Ikoyi","N5,000,000 per year"
Flat & Apartment,"Lekki Phase 1, Lekki","N1,600,000 per year"
3 Bedroom Flat & Apartment,"First Avenue, Banana Island, Ikoyi","N18,000,000 per year"
5 Bedroom Duplex,"Ikota Villa Estate , Ikota, Lekki","N3,000,000 per year"
4 Bedroom Terrace,"Off Freedom Way, Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Off Secind Avenue, Banana Island, Ikoyi","N8,000,000 per year"
4 Bedroom Duplex,"Chevron Lekki Lagos , Chevron Drive, Lekki","N3,000,000 per year"
5 Bedroom Duplex,"Off Admiralty Way, Lekki Phase 1, Lekki","N10,000,000 per year"
Flat & Apartment,"Old Ikoyi, Ikoyi","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Off Admiralty Way, Lekki Phase 1, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Ogba, Ikeja","N1,500,000 per year"
3 Bedroom Flat & Apartment,"Oniru Estate, Oniru, Victoria Island","N6,500,000 per year"
4 Bedroom Terrace,"U3 Estate, Lekki Phase 1, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Alternative Route, Chevron Drive, Lekki","N4,000,000 per year"
Flat & Apartment,"Agungi, Lekki","N1,500,000 per year"
Office,"Oniru, Victoria Island","N7,000,000 per year"
Office,"Oniru, Victoria Island","N38,000 per yearN38,000  /m2"
Flat & Apartment,"Agungi, Lekki","N1,500,000 per year"
3 Bedroom Flat & Apartment,"Oniru Estate, Oniru, Victoria Island","N3,500,000 per year"
3 Bedroom Flat & Apartment,"Oniru Private Estate, Oniru, Victoria Island","N4,500,000 per year"
4 Bedroom Duplex,"Adegbola Estate,  Ikeja G.R.A, Ikeja","N5,000,000 per year"
4 Bedroom Duplex,"Admiralty Way, Lekki Phase 1, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Abiodun Yusufu Street Oniru., Oniru, Victoria Island","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview, Parkview Estate, Ikoyi","N5,000,000 per year"
4 Bedroom Duplex,Ikoyi,"N18,000,000 per year"
3 Bedroom Flat & Apartment,"Off Second Avenue, Banana Island, Ikoyi","N13,000,000 per year"
Office,Victoria Island,"N11,550,000 per yearN55,000  /m2"
Office,Victoria Island,"N20,000,000 per year"
Office,Victoria Island,N500 per yearN500  /m2
3 Bedroom Flat & Apartment,"Off Adeola Odeku, Victoria Island, Oniru, Victoria Island","N16,500,000 per year"
3 Bedroom Terrace,"Off Ondo Street, Banana Island, Ikoyi","N10,000,000 per year"
2 Bedroom Flat & Apartment,"Graceanjouse, Lekki Phase 1, Lekki","N3,500,000 per year"
2 Bedroom Flat & Apartment,"Off Awolowo Road, Falomo , Ikoyi","N8,000,000 per year"
4 Bedroom Duplex,"11, Parkview Estate, Ikoyi","N9,000,000 per year"
3 Bedroom Flat & Apartment,"Abike Court, Oniru, Victoria Island","N5,000,000 per year"
4 Bedroom Terrace,"Ahkuzu , Lekki Phase 1, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Off Fatai Arubieke Stree, Lekki Phase 1, Lekki","N3,500,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N8,000,000 per year"
Flat & Apartment,"Off Palace Road, Oniru, Victoria Island","N2,000,000 per year"
3 Bedroom Flat & Apartment,"Abiodun Yusuf Street, Oniru, Victoria Island","N5,000,000 per year"
4 Bedroom Terrace,"Ondo, Banana Island, Ikoyi","N10,000,000 per year"
3 Bedroom Flat & Apartment,"White Sand School Road, Lekki Phase 1, Lekki","N3,500,000 per year"
4 Bedroom Terrace,"Off Palace Road, Oniru, Victoria Island","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Sangoteddo, Sangotedo, Ajah","N2,000,000 per year"
4 Bedroom Duplex,"Old Ikoyi, Ikoyi","N15,000,000 per year"
3 Bedroom Flat & Apartment,"Osapa, Lekki","N2,300,000 per year"
5 Bedroom Commercial Property,"Ikate, Ikate Elegushi, Lekki","N6,000,000 per year"
2 Bedroom Flat & Apartment,"Off Adeyemo Alakija, Victoria Island","N6,000,000 per year"
4 Bedroom Duplex,"Old Ikoyi, Ikoyi","N15,000,000 per year"
3 Bedroom Terrace,"Off Admiralty Road, Lekki Phase 1, Lekki","N5,000,000 per year"
Flat & Apartment,"Oniru, Victoria Island","N2,300,000 per year"
Office,"Awolowo , Awolowo Road, Ikoyi","N54,000,000 per yearN45,000  /m2"
4 Bedroom Duplex,"Off Eco Street, Parkview Estate, Ikoyi","N7,000,000 per year"
Commercial Property,"Ligali Ayorinde Avenue, Oniru, Victoria Island","N6,000,000 per year"
2 Bedroom Flat & Apartment,"Banana Island Road, Banana Island, Ikoyi","N9,000,000 per year"
3 Bedroom Flat & Apartment,"Admiralty Way, Lekki Phase 1, Lekki","N3,500,000 per year"
3 Bedroom Flat & Apartment,"Oniru, Victoria Island","N4,000,000 per year"
3 Bedroom Townhouse,"Off Admiralty Road, Lekki Phase 1, Lekki","N5,500,000 per year"
4 Bedroom Duplex,"Off Jide Sawyer, Lekki Phase 1, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Off Elegushi Road, Ikate Elegushi, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Chevron Estate, Chevron Drive, Lekki","N5,000,000 per year"
4 Bedroom Flat & Apartment,Ikoyi,"N18,000,000 per year"
4 Bedroom Office,"Off Awolowo Way, Awolowo Road, Ikoyi","N10,000,000 per year"
4 Bedroom Townhouse,"Olutoye Close, Ikeja , Ikeja","N5,500,000 per year"
Office,Victoria Island,"N16,500,000 per yearN300  /m2"
3 Bedroom Flat & Apartment,"Bourdillion Road , Ikoyi","N15,000,000 per year"
4 Bedroom Flat & Apartment,"Off Fatai Arubieke, Lekki Phase 1, Lekki","N6,500,000 per year"
3 Bedroom Flat & Apartment,"Ligali Ayorinde Street, Victoria Island","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi , Banana Island, Ikoyi","N18,000,000 per year"
Office,"Lekki Phase 1, Lekki","N2,500,000 per year"
4 Bedroom Duplex,"Chevron , Ikota, Lekki","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N4,000,000 per year"
2 Bedroom Flat & Apartment,Ikoyi,"N3,500,000 per year"
Office,"Lekki Phase 1, Lekki","N13,500,000 per year"
3 Bedroom Flat & Apartment,"Vi, Victoria Island","N3,300,000 per year"
Office,"Lekki Phase 1, Lekki","N3,000,000 per year"
3 Bedroom Duplex,"Lekki Phase 1, Lekki","N4,000,000 per year"
Office,"Off Banana Island, Banana Island, Ikoyi","N250,000 per yearN250  /m2"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N6,500,000 per year"
Commercial Property,"Ikoyi Lagos, Ikoyi","N10,000,000 per year"
4 Bedroom Duplex,"Lekki County Estate, Ikota, Lekki","N3,000,000 per year"
4 Bedroom Duplex,"Gra,  Ikeja G.R.A, Ikeja","N3,500,000 per year"
Office,"V.I., Victoria Island","N10,000,000 per year"
3 Bedroom Flat & Apartment,"Off 3Rd Avenue, Banana Island, Ikoyi","N13,000,000 per year"
Office,"Off Awolowo Way, Ikeja , Ikeja","N1,600,000 per year"
Office,"Allen Avenue , Ikeja , Ikeja","N11,250,000 per yearN25,000  /m2"
Office,"Allen Avenue Road , Allen Avenue, Ikeja","N8,000,000 per yearN25,000  /m2"
Office,Victoria Island,"N6,500,000 per year"
Office,"Opebi Ikeja, Opebi, Ikeja","N5,250,000 per yearN25,000  /m2"
Commercial Property,"Ikeja, Opebi, Ikeja","N25,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N5,000,000 per year"
Office,"Marwa, Lekki Expressway, Lekki","N8,000,000 per year"
3 Bedroom Flat & Apartment,"3Rd Avenue, Banana Island, Ikoyi","N13,000,000 per year"
Office,"Awolowo Road, Ikoyi","N26,000,000 per yearN45,000  /m2"
Office,"Lekki Phase 1, Lekki","N15,000,000 per year"
7 Bedroom Townhouse,"Banana Island, Ikoyi","N30,000,000 per year"
4 Bedroom Duplex,"Friends Colony Estate, Osapa, Lekki","N5,000,000 per year"
5 Bedroom Terrace,"Sonubi Str, Parkview Estate, Ikoyi","N8,000,000 per year"
4 Bedroom Terrace,"Ikate, Ikate Elegushi, Lekki","N5,000,000 per year"
Office,Victoria Island,"N25,000,000 per year"
Office,"Close To Muri Okunola , Victoria Island","N8,250,000 per yearN50,000  /m2"
Office,"Omorinre Johnson, Lekki Phase 1, Lekki","N800,000 per year"
Office,"Lekki Phase 1, Lekki","N5,250,000 per yearN60,000  /m2"
Office,"Awolowo Way, Awolowo Road, Ikoyi","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N15,000,000 per year"
Hotel,"Ilashe Beach, Lekki Phase 2, Lekki","N250,000 per yearN250  /m2"
Office,"2Nd Toll Gate , Lekki Expressway, Lekki","N65,000,000 per yearN50,000  /m2"
Shop,"Lekki Phase 1, Lekki Expressway, Lekki","N10,550,000 per yearN50,000  /m2"
4 Bedroom Duplex,"Oduuwa Way,  Ikeja G.R.A, Ikeja","N7,500,000 per year"
Shop,"Lekki Phase, Lekki Phase 1, Lekki","N1,800,000 per year"
Office,"Admiralty Way, Lekki Phase 1, Lekki Phase 1, Lekki","N3,520,000 per yearN80,000  /m2"
Commercial Property,"By Silverbird Radio Station, Jakande, Lekki, Lekki Expressway, Lekki","N3,000,000 per year"
Office,"Victoria Island, Oniru, Victoria Island","N6,000,000 per year"
Office,"Ozumba Nbadiwe , Victoria Island","N144,000 per yearN144,000  /m2"
Office,"Lekki Epe- Expressway , Ikate Elegushi, Lekki","N60,000 per yearN60,000  /m2"
Office,Victoria Island,"N181,000,000 per yearN180,000  /m2"
5 Bedroom House,"Chevy View , Chevron Drive, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
3 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
3 Bedroom House,"Oniru, Victoria Island","N7,000,000 per year"
5 Bedroom Duplex,"Ikate, Ikate Elegushi, Lekki","N6,000,000 per year"
5 Bedroom House,"Oniru, Victoria Island","N8,500,000 per year"
2 Bedroom Flat & Apartment,"Thomas Estate, Ajah","N2,600,000 per year"
5 Bedroom Duplex,"Osapa, Lekki","N7,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
5 Bedroom Duplex,"Chevron , Ikota, Lekki",N8 per year
2 Bedroom Flat & Apartment,Ajah,"N2,600,000 per year"
3 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
5 Bedroom Terrace,"Osapa, Lekki","N7,000,000 per year"
3 Bedroom House,"Lekki Phase 1, Lekki","N5,500,000 per year"
3 Bedroom Flat & Apartment,Ajah,"N3,100,000 per year"
3 Bedroom Flat & Apartment,Ajah,"N2,800,000 per year"
2 Bedroom Flat & Apartment,Ajah,"N2,600,000 per year"
4 Bedroom Flat & Apartment,Ajah,"N3,500,000 per year"
3 Bedroom Flat & Apartment,Ajah,"N1,750,000 per year"
3 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
4 Bedroom Duplex,"Westend Estate, Ikota, Lekki","N3,500,000 per year"
3 Bedroom Duplex,"Ikota, Lekki","N3,000,000 per year"
4 Bedroom House,"Ikoyi, Banana Island, Ikoyi","N25,000,000 per year"
2 Bedroom Duplex,"Agungi, Lekki","N2,500,000 per year"
4 Bedroom Duplex,Ajah,"N4,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
3 Bedroom Duplex,"Ikota, Lekki","N3,500,000 per year"
3 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
5 Bedroom Duplex,"Chevron , Chevron Drive, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Oral Estate, Ikota, Lekki","N4,500,000 per year"
4 Bedroom Flat & Apartment,Ajah,"N3,500,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N15,000,000 per year"
4 Bedroom Duplex,"Oral , Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,500,000 per year"
Flat & Apartment,"Lekki Phase 1, Lekki","N2,500,000 per year"
4 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N19,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N7,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Oniru, Victoria Island","N5,500,000 per year"
3 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N4,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N5,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
2 Bedroom Flat & Apartment,Ajah,"N2,500,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Oral Estate , Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N3,500,000 per year"
4 Bedroom Duplex,"Ochid, Ikota, Lekki","N3,900,000 per year"
3 Bedroom Flat & Apartment,"Ikoyi Off Glover Road, Ikoyi","N8,500,000 per year"
2 Bedroom Flat & Apartment,"Lekki, Lekki Phase 1, Lekki","N4,000,000 per year"
Flat & Apartment,"Vi, Victoria Island","N14,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
2 Bedroom Flat & Apartment,"Ikate Chisco, Bus-Stop, Ikate Elegushi, Lekki","N4,000,000 per year"
4 Bedroom Duplex,Ikoyi,"N15,000,000 per year"
Flat & Apartment,"Old Ikoyi, Ikoyi","N6,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N6,000,000 per year"
3 Bedroom Flat & Apartment,"Vi, Victoria Island","N4,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N3,900,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
3 Bedroom Terrace,"Phase 1, Lekki Phase 1, Lekki","N6,500,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Duplex,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N180,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Ikoyi Lagos, Ikoyi","N14,000,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Chevron, Chevron Drive, Lekki","N2,500,000 per year"
3 Bedroom Terrace,"Lekki Phase 1,, Lekki Phase 1, Lekki","N6,500,000 per year"
3 Bedroom Flat & Apartment,"Chevron, Chevron Drive, Lekki","N2,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Oniru, Victoria Island","N5,500,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N15,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N3,500,000 per year"
4 Bedroom Terrace,"Orchid , Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Chevy View, Chevron Drive, Lekki","N5,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N2,800,000 per year"
4 Bedroom Terrace,"Phase 1 , Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1,, Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Oral Estate , Ikota, Lekki","N4,500,000 per year"
2 Bedroom Terrace,"Ikate, Ikate Elegushi, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Oniru, Victoria Island","N5,500,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
3 Bedroom Terrace,"Lekki Phase 1, Lekki","N6,500,000 per year"
3 Bedroom Terrace,"Osapa, Lekki","N5,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
3 Bedroom Terrace,"Banana Island, Ikoyi","N13,000,000 per year"
2 Bedroom Flat & Apartment,"Ikate, Ikate Elegushi, Lekki","N2,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N9,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N6,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Duplex,"Western Estate , Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Milvaton Estate Jakande Osapa, Osapa, Lekki","N3,000,000 per year"
3 Bedroom Terrace,"Banana Island Ikoyi, Banana Island, Ikoyi","N13,000,000 per year"
2 Bedroom Flat & Apartment,Victoria Island,"N6,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
4 Bedroom Duplex,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
2 Bedroom Flat & Apartment,"Ikate, Ikate Elegushi, Lekki","N2,500,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N7,500,000 per year"
4 Bedroom Duplex,"Oceanbay Estate Orchid , Chevron Drive, Lekki","N4,000,000 per year"
5 Bedroom House,"Lekki Phase 1, Lekki","N7,000,000 per year"
4 Bedroom House,"Banana Island Lagos, Banana Island, Ikoyi","N15,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N250,000,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
2 Bedroom House,"Lekki Phase 1, Lekki","N3,500,000 per year"
2 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N10,500,000 per year"
2 Bedroom Flat & Apartment,"Ikate, Ikate Elegushi, Lekki","N5,500,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
2 Bedroom Flat & Apartment,"Ikota, Lekki","N2,500,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N6,000,000 per year"
4 Bedroom Terrace,"Lekki, Ikate Elegushi, Lekki","N5,000,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,500,000 per year"
3 Bedroom Terrace,"Ikota, Lekki","N3,000,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Flat & Apartment,"Vi, Victoria Island","N10,000,000 per year"
4 Bedroom Terrace,Ikoyi,"N8,000,000 per year"
4 Bedroom Terrace,"Vgc, Ikota, Lekki","N3,500,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Conservation Road, Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Ikota, Lekki","N2,500,000 per year"
3 Bedroom Flat & Apartment,"Orchid , Ikota, Lekki","N2,500,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N5,500,000 per year"
4 Bedroom Terrace,"Old Ikoyi, Ikoyi","N11,000,000 per year"
3 Bedroom Flat & Apartment,"Vi, Victoria Island","N5,000,000 per year"
4 Bedroom Terrace,"Vgc, Ikota, Lekki","N3,500,000 per year"
2 Bedroom Flat & Apartment,"Ikate, Ikate Elegushi, Lekki","N2,500,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,000,000 per year"
3 Bedroom Duplex,"Parkview , Parkview Estate, Ikoyi","N6,500,000 per year"
6 Bedroom Duplex,"Lekki Phase 1, Lekki","N16,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N6,500,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N5,000,000 per year"
5 Bedroom House,"Ikota, Lekki","N8,000,000 per year"
4 Bedroom Terrace,"Lekki Phase 1, Lekki","N7,500,000 per year"
4 Bedroom Duplex,"Ikota Estate , Ikota, Lekki","N3,500,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N8,000,000 per year"
4 Bedroom House,"Lagos Ikoyi, Ikoyi","N16,000,000 per year"
4 Bedroom Duplex,"Orchid, Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N8,000,000 per year"
4 Bedroom Terrace,"Banana Island, Ikoyi","N18,000,000 per year"
3 Bedroom Flat & Apartment,"Parkview Estate, Ikoyi","N5,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N8,000,000 per year"
3 Bedroom Terrace,"Banana Island, Ikoyi","N14,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N8,000,000 per year"
5 Bedroom Duplex,"Ikota, Lekki","N7,000,000 per year"
5 Bedroom Duplex,"Banana Island Ikoyi, Banana Island, Ikoyi","N25,000,000 per year"
4 Bedroom Terrace,"Oral , Ikota, Lekki","N4,000,000 per year"
3 Bedroom Flat & Apartment,"Old Ikoyi, Ikoyi","N15,000,000 per year"
2 Bedroom House,"Cluster One Estate , Ikota, Lekki","N1,800,000 per year"
3 Bedroom Duplex,"Parkview, Parkview Estate, Ikoyi","N5,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N6,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N4,000,000 per year"
3 Bedroom Flat & Apartment,"Park View Estate, Parkview Estate, Ikoyi","N5,000,000 per year"
Flat & Apartment,"Dolphin Estate, Ikoyi","N2,500,000 per year"
2 Bedroom Flat & Apartment,Ajah,"N850,000 per year"
3 Bedroom Terrace,"Banana Island Estate, Banana Island, Ikoyi","N13,000,000 per year"
3 Bedroom Flat & Apartment,Ikoyi,"N10,000,000 per year"
2 Bedroom Flat & Apartment,Victoria Island,"N5,500,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,"Banana Island, Ikoyi","N20,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,000,000 per year"
4 Bedroom Terrace,"Banana Island Ikoyi, Banana Island, Ikoyi","N30,000,000 per year"
5 Bedroom Duplex,"Ikota, Lekki","N7,000,000 per year"
4 Bedroom Duplex,"Lekki Phase 1, Lekki","N12,000,000 per year"
2 Bedroom Flat & Apartment,Ajah,"N1,000,000 per year"
4 Bedroom Terrace,"Ikoyi, Parkview Estate, Ikoyi","N9,000,000 per year"
4 Bedroom Terrace,"Ikota, Lekki","N4,500,000 per year"
3 Bedroom Flat & Apartment,Victoria Island,"N7,000,000 per year"
3 Bedroom Flat & Apartment,"Bourdillon Road, Ikoyi","N17,000,000 per year"
3 Bedroom Flat & Apartment,"Lekki Phase 1, Lekki","N3,500,000 per year"
4 Bedroom Terrace,"Orchid, Ikota, Lekki","N4,500,000 per year"
2 Bedroom Townhouse,"Ikate, Ikate Elegushi, Lekki","N4,500,000 per year"
Flat & Apartment,"Lekki Phase 1, Lekki","N2,200,000 per year"
4 Bedroom Duplex,"Ikota, Lekki","N4,500,000 per year"
2 Bedroom Flat & Apartment,"Off Admiralty Road , Lekki Phase 1, Lekki","N2,800,000 per year"
